7-Eleven stores were temporarily converted into Kwik E-marts to promote the release of what movie?,THE SIMPSONS MOVIE
According to the Dept. of Educationmore degrees are earned in what undergraduate major than in any other?,BUSINESS
According to the intro of a classic 1950s TV serieswho fights “for truthjusticeand the American way”?,SUPERMAN
According to the Irish playwright George Bernard Shaw”He who candoes. He who cannot” does what?,TEACHES
According to the lyrics of a 1964 songthe girl from Ipanema is “tall and thin and young and” what?,LOVELY
According to the lyrics of his 1973 hit songJim Croce wishes he “could save” what “in a bottle”?,TIME
According to the National Severe Storms Laboratoryabout how wide across is a cloud-to-ground lightning bolt?,ONE INCH
According to the OEDwhich of these shoe names also describes a person “who spends his time in idleness”?,LOAFER
According to the old sports saying”The best defense is a good” what?,OFFENSE
According to the results of the 2010 Censuswhat is the approximate population of the United States?,309 MILLION
According to the term’s rough translationthe vegetable and grain-heavy “macrobiotic diet” purports to offer a what?,LONG LIFE
According to the title of a cable sitcom featuring Danny DeVito “It’s Always Sunny In” what U.S. city?,PHILADELPHIA
According to the title of a popular folk song what animal is “in the Straw”?,TURKEY
According to the U.S. Naval Observatory the average length of a calendar year is 365 days and what?,5 HRS 49 Min 12 SEC
According to the U.S. State Dept127 of the world’s 193 countries have what word in their names?,REPUBLIC
According to their ’80s heavy metal anthemthe Scorpions want to “Rock You Like a” what?,HURRICANE
According to U.S. lawwhat “should never be carried flat or horizontallybut always aloft and free”?,U.S. FLAG
According to Urban Dictionary “cookie duster” is a playful term for a what?,MUSTACHE
Acting legend Meryl Streep made her film debut in 1977 in what Oscar-nominated film?,JULIA
Actor Matthew Perry shares his first and last name with a famous American who held what U.S. post?,COMMODORE OF THE NAVY
Actor Paul Rudd had roles in all but which of the following comedy blockbusters?,THE HANGOVER
Actors who gain weight for roles are often compared to Robert De Nirowho packed on 60 pounds for what Scorsese film?,RAGING BULL
Actress Christine Baranski guest stars as Dr. Beverly HofstadterLeonard’s momon what TV sitcom?,THE BIG BANG THEORY
Actress Estelle Getty is best remembered for a TV role in which she always did which of the following?,WORE A WIG
Actress Kimberly Williams changed her last name to WIlliams-Paisley in 2003 after marrying a famous what?,COUNTRY SINGER
Actress Mackenzie Phillips is the daughter of John Phillipsa singer from what popular music group?,THE MAMAS & THE PAPAS
Actually a combination of three tunnelsthe so-called “Chunnel” runs underwater from England to what country?,FRANCE
Adam Sandler Seth Rogen and Jonah Hill star in a 2009 movie aptly titled what?,FUNNY PEOPLE
Adapted from a children’s bookJim Carrey plays a businessman who inherits pets in the movie “Mr.Popper’s” what?,PENGUINS
Adding an “a” to the end of what president’s surname gives the name of a wildly popular 19th-century dance?,JAMES K.POLK
Administrative Professionals Day once called National Secretaries Day is observed during what month?,APRIL
Advertised as a “Decision Engine” Bing is a Web Site most similar in function to which of the following?,GOOGLE
Advertising its low calorie countAnheuser-Busch offers what brewdubbed “the lightest beer in the world”?,BUDWEISER SELECT 55
Aesopthe 6th-cetntury Greek authoris primarily known for writing what type of fiction?,FABLES
Afghan Girl was captured as the photo of what magazine?,NATIONAL GEOGRAPHIC
Afrikaans and Zulu are just two of the eleven official languages used by what multilingual nation?,SOUTH AFRICA
After 29 years of calling him her “spousal equivalent” what “View” co-host finally wed her longtime beau Steve Janowitz in 2011?,JOY BEHAR
After a much-hyped 2011 weddingwhich Kardashian filed for divorce just days after marrying NBA player Kris Humphries?,KIM
After a well-publicized breakupwhat actor altered his “Winona Forever” tattoo to read “Wino Forever”?,JOHNNY DEPP
After adopting her son therewhat actress helped rebuild a school in her newly adopted city of New Orleans?,SANDRA BULLOCK
After directing the pro-Dalai Lama 1997 film “Kundun” what director found himself banned from China?,MARTIN SCORSESE
After dismal performancesa legendary what inspired the 2010 headline “HoustonWe Have a Problem”?,POP SINGER
After her breakout role on “The Cosby Show” Raven-Symone starred in what aptly-named kids’ show?,THAT’S SO RAVEN
After his departure from CBS in 2011Charlie Sheen embarked on a nationwide tour called “My Violent Torpedo of” what?,TRUTH
After hosting the season premiere of “Saturday Night Live” in 2011 who became the most frequent SNL host in history?,ALEC BALDWIN
After long struggling with cigaretteswhich of these politicians was declared “tobacco free” by his doctor in 2011?,BARACK OBAMA
After losing a whopping 88 pounds in 2011 Latino rapper Fat Joe joked that friends started calling him “Joey” what?,FLACO
After moving to cableOprah Winfrey debuted her new primetime talk show in 2012titled “Oprah’s” what?,NEXT CHAPTER
After nearly 70 days underground33 men were dramatically rescued in 2010 from a mine in what country?,CHILE
After nearly thirty years on the jobMary Hart stepped down as host of what TV show in 2011?,ENTERTAINMENT TONIGHT
After picking his running mate for vice presidentwho wrote in his diary”It was my decisionand I blew it”?,GEORGE H.W. BUSH
After retirement”emeritus” is traditionally added to the title of a person with which of these occupations?,COLLEGE PROFESSOR
After retirement”emeritus” is traditionally added to the title of a person with which of these occupations?,COLLEGE PROFESSORS
After Russia what is the largest country in the world by land area?,CANADA
After the passing of his father in 2011Kim Jong-Un became the de facto leader of what nation?,NORTH KOREA
After the U.S. and Russiawhat is the only country to have launched a person into space aboard its own rocket?,CHINA
Agreeing that greed is good what actor’s ex-wife sued him for money earned on a 2010 “Wall Street” sequel?,MICHAEL DOUGLAS
Aibohphobiawhich reads the same way forwards and backwardsis the fear of what?,PALINDROMES
Aimed at worn-out parentsthe title of a best-selling 2011 kids’ book parody profanely urges kids to do what?,GO TO SLEEP
Air Gel and Zig are three different technological advances available on certain types of what?,SNEAKERS
Airing in 2011 the reality series “Joan & Melissa” follows the ups and downs between two people of what relation?,MOTHER AND DAUGHTER
Albany and New York City are two major ports on what river?,HUDSON
Ali Wentwortha popular actress and comedienneis the wife of what prominent news anchor?,GEORGE STEPHANOPOULOS
All Cabbage Patch dolls feature the signature of their creatorXavier Robertsstamped on what part of the body?,BACKSIDE
All three of the popular “CSI” TV dramas feature theme songs performed by what rock band?,THE WHO
Along with Bonaire and Curacaowhat “A” island comprises the “ABC Islands”?,ARUBA
Along with his wife Melindawhat billionaire has set a goal of eradicating polio worldwide?,BILL GATES
Also a noted Broadway actorPaul Lynde was most famous for being a regular guest on what game show?,HOLLYWOOD SQUARES
Also about gangsters and New Jerseythe HBO series “Boardwalk Empire” is set in the ’20s in what town?,ATLANTIC CITY
Also called a “serial” commathe optional comma placed before the “and” at the end of a written list is called a what?,OXFORD COMMA
Also called a “Whammy bar” a “tremolo arm” is used to affect the pitch of which of these musical instruments?,GUITAR
Also called the “cone of shame” the plastic collar often worn by dogs after a medical procedure is named what?,ELIZABETHAN COLLAR
Also known as the striped polecatthe zorilla closely resembles what other black and white animal?,SKUNK
